Timestamp,Device_ID,Device_Type,Parameter_Changed,New_Value,Trigger_Source
2026-01-01 06:53:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,24,Human
2026-01-01 06:54:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-01 06:55:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,Low,Human
2026-01-01 07:21:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,70,Human
2026-01-01 07:53:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human
2026-01-01 07:54:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,30,Human
2026-01-01 09:08:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human
2026-01-01 19:15:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-01 19:16:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,65,Human
2026-01-01 19:17:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3000,Human
2026-01-01 19:18:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-01 20:11:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human
2026-01-01 22:38:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,21,Human
2026-01-01 22:39:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Fan,Human
2026-01-01 22:42:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-01 23:12:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-01 23:14:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-01 23:15:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-02 06:52:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,25,Human
2026-01-02 06:53:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-02 06:54:00,LivingRoom_AC_1,Smart Air Conditioner,Fan Speed,Low,Human
2026-01-02 07:39:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,90,Human
2026-01-02 08:01:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Play,Human
2026-01-02 08:02:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Volume Level,35,Human
2026-01-02 08:56:00,Kitchen_Speaker_1,Smart Speaker / Receiver,Playback State,Stop,Human
2026-01-02 19:29:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
2026-01-02 19:30:00,LivingRoom_LED_1,Smart LED Bulb,Brightness,70,Human
2026-01-02 19:31:00,LivingRoom_LED_1,Smart LED Bulb,Color Temperature,3000,Human
2026-01-02 19:32:00,TV_Plug_1,Smart Plug / Outlet,Switch State,On,Human
2026-01-02 20:08:00,LivingRoom_Blinds_1,Smart Blinds / Shades,Open/Close Percentage,0,Human
2026-01-02 22:21:00,Bedroom_AC_2,Smart Air Conditioner,Target Temperature,20,Human
2026-01-02 22:22:00,Bedroom_AC_2,Smart Air Conditioner,Operation Mode,Cool,Human
2026-01-02 22:37:00,FrontDoor_Cam_1,Security Camera,Privacy Mode,Enabled,Human
2026-01-02 22:45:00,LivingRoom_LED_1,Smart LED Bulb,Power State,Off,Human
2026-01-02 22:47:00,TV_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-02 22:48:00,Bedroom_Plug_1,Smart Plug / Outlet,Switch State,Off,Human
2026-01-03 08:51:00,Hallway_Vacuum_1,Robot Vacuum,Cleaning State,Clean,Human
2026-01-03 08:52:00,Hallway_Vacuum_1,Robot Vacuum,Suction Power,Standard,Human
2026-01-03 14:38:00,LivingRoom_AC_1,Smart Air Conditioner,Target Temperature,24,Human
2026-01-03 14:39:00,LivingRoom_AC_1,Smart Air Conditioner,Operation Mode,Fan,Human
2026-01-03 19:15:00,LivingRoom_LED_1,Smart LED Bulb,Power State,On,Human
