timestamp,key,device_id,parameter,n_samples,metric_name,metric,model_type,status,reason,predicted
2026-06-09T14:36:39.987198,Bedroom_AC_2__Operation Mode,Bedroom_AC_2,Operation Mode,54,Accuracy,0.5455,clf,DROPPED,accuracy 0.545 < 0.55,
2026-06-09T14:36:40.179220,Bedroom_AC_2__Target Temperature,Bedroom_AC_2,Target Temperature,54,MAE,0.1203,reg,OK,,
2026-06-09T14:36:40.384684,Bedroom_LED_2__Brightness,Bedroom_LED_2,Brightness,54,MAE,5.0362,reg,OK,,
2026-06-09T14:36:40.618988,Bedroom_LED_2__Color Temperature,Bedroom_LED_2,Color Temperature,54,Accuracy,0.3636,clf,DROPPED,accuracy 0.364 < 0.55,
2026-06-09T14:36:40.863520,FrontDoor_Cam_1__Privacy Mode,FrontDoor_Cam_1,Privacy Mode,54,Accuracy,0.2727,clf,DROPPED,accuracy 0.273 < 0.55,
2026-06-09T14:36:41.134107,Garden_Irrigation_1__Zone 1 State,Garden_Irrigation_1,Zone 1 State,55,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:41.437338,Hallway_Vacuum_1__Suction Power,Hallway_Vacuum_1,Suction Power,8,Accuracy,0.5,clf,DROPPED,accuracy 0.500 < 0.55,
2026-06-09T14:36:41.724149,Kitchen_Speaker_1__Playback State,Kitchen_Speaker_1,Playback State,78,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:41.940305,Kitchen_Speaker_1__Volume Level,Kitchen_Speaker_1,Volume Level,39,MAE,5.5137,reg,OK,,
2026-06-09T14:36:42.198750,LivingRoom_AC_1__Fan Speed,LivingRoom_AC_1,Fan Speed,39,Accuracy,0.125,clf,DROPPED,accuracy 0.125 < 0.55,
2026-06-09T14:36:42.431911,LivingRoom_AC_1__Operation Mode,LivingRoom_AC_1,Operation Mode,55,Accuracy,0.9091,clf,OK,,
2026-06-09T14:36:42.634209,LivingRoom_AC_1__Target Temperature,LivingRoom_AC_1,Target Temperature,55,MAE,0.4692,reg,OK,,
2026-06-09T14:36:42.825919,LivingRoom_Blinds_1__Open/Close Percentage,LivingRoom_Blinds_1,Open/Close Percentage,77,MAE,5.1525,reg,OK,,
2026-06-09T14:36:43.015288,LivingRoom_LED_1__Brightness,LivingRoom_LED_1,Brightness,54,MAE,5.2504,reg,OK,,
2026-06-09T14:36:43.278450,LivingRoom_LED_1__Color Temperature,LivingRoom_LED_1,Color Temperature,54,Accuracy,0.3636,clf,DROPPED,accuracy 0.364 < 0.55,
2026-06-09T14:36:43.506963,LivingRoom_LED_1__Power State,LivingRoom_LED_1,Power State,108,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:43.730843,TV_Plug_1__Switch State,TV_Plug_1,Switch State,108,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:45.469321,Bedroom_AC_2__Operation Mode,Bedroom_AC_2,Operation Mode,102,Accuracy,0.7619,clf,OK,,
2026-06-09T14:36:45.656800,Bedroom_AC_2__Target Temperature,Bedroom_AC_2,Target Temperature,102,MAE,0.0525,reg,OK,,
2026-06-09T14:36:45.853467,Bedroom_LED_2__Brightness,Bedroom_LED_2,Brightness,102,MAE,6.5557,reg,OK,,
2026-06-09T14:36:46.076054,Bedroom_LED_2__Color Temperature,Bedroom_LED_2,Color Temperature,102,Accuracy,0.5714,clf,OK,,
2026-06-09T14:36:46.305793,FrontDoor_Cam_1__Privacy Mode,FrontDoor_Cam_1,Privacy Mode,102,Accuracy,0.7143,clf,OK,,
2026-06-09T14:36:46.543739,Garden_Irrigation_1__Zone 1 State,Garden_Irrigation_1,Zone 1 State,103,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:46.772698,Hallway_Vacuum_1__Suction Power,Hallway_Vacuum_1,Suction Power,15,Accuracy,0.3333,clf,DROPPED,accuracy 0.333 < 0.55,
2026-06-09T14:36:47.003689,Kitchen_Speaker_1__Playback State,Kitchen_Speaker_1,Playback State,146,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:47.192295,Kitchen_Speaker_1__Volume Level,Kitchen_Speaker_1,Volume Level,73,MAE,4.3822,reg,OK,,
2026-06-09T14:36:47.439676,LivingRoom_AC_1__Fan Speed,LivingRoom_AC_1,Fan Speed,73,Accuracy,0.6,clf,OK,,
2026-06-09T14:36:47.669034,LivingRoom_AC_1__Operation Mode,LivingRoom_AC_1,Operation Mode,103,Accuracy,0.9524,clf,OK,,
2026-06-09T14:36:47.865785,LivingRoom_AC_1__Target Temperature,LivingRoom_AC_1,Target Temperature,103,MAE,0.8106,reg,OK,,
2026-06-09T14:36:48.050020,LivingRoom_Blinds_1__Open/Close Percentage,LivingRoom_Blinds_1,Open/Close Percentage,146,MAE,5.0566,reg,OK,,
2026-06-09T14:36:48.286677,LivingRoom_Fan_1__Fan Speed,LivingRoom_Fan_1,Fan Speed,44,Accuracy,0.5556,clf,OK,,
2026-06-09T14:36:48.529668,LivingRoom_Fan_1__Power State,LivingRoom_Fan_1,Power State,88,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:48.727184,LivingRoom_LED_1__Brightness,LivingRoom_LED_1,Brightness,103,MAE,4.7027,reg,OK,,
2026-06-09T14:36:48.968097,LivingRoom_LED_1__Color Temperature,LivingRoom_LED_1,Color Temperature,103,Accuracy,0.4762,clf,DROPPED,accuracy 0.476 < 0.55,
2026-06-09T14:36:49.212300,LivingRoom_LED_1__Power State,LivingRoom_LED_1,Power State,205,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:49.446904,TV_Plug_1__Switch State,TV_Plug_1,Switch State,205,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:52.019220,Bedroom_AC_2__Operation Mode,Bedroom_AC_2,Operation Mode,150,Accuracy,0.6333,clf,OK,,
2026-06-09T14:36:52.225347,Bedroom_AC_2__Target Temperature,Bedroom_AC_2,Target Temperature,150,MAE,0.013,reg,OK,,
2026-06-09T14:36:52.427099,Bedroom_LED_2__Brightness,Bedroom_LED_2,Brightness,150,MAE,5.7416,reg,OK,,
2026-06-09T14:36:52.664543,Bedroom_LED_2__Color Temperature,Bedroom_LED_2,Color Temperature,150,Accuracy,0.5,clf,DROPPED,accuracy 0.500 < 0.55,
2026-06-09T14:36:52.897133,FrontDoor_Cam_1__Privacy Mode,FrontDoor_Cam_1,Privacy Mode,150,Accuracy,0.6667,clf,OK,,
2026-06-09T14:36:53.124419,Garden_Irrigation_1__Zone 1 State,Garden_Irrigation_1,Zone 1 State,150,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:53.345679,Hallway_Vacuum_1__Suction Power,Hallway_Vacuum_1,Suction Power,22,Accuracy,0.4,clf,DROPPED,accuracy 0.400 < 0.55,
2026-06-09T14:36:53.582616,Kitchen_Speaker_1__Playback State,Kitchen_Speaker_1,Playback State,214,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:53.788709,Kitchen_Speaker_1__Volume Level,Kitchen_Speaker_1,Volume Level,107,MAE,3.2386,reg,OK,,
2026-06-09T14:36:54.040592,LivingRoom_AC_1__Fan Speed,LivingRoom_AC_1,Fan Speed,107,Accuracy,0.4091,clf,DROPPED,accuracy 0.409 < 0.55,
2026-06-09T14:36:54.284003,LivingRoom_AC_1__Operation Mode,LivingRoom_AC_1,Operation Mode,150,Accuracy,0.9333,clf,OK,,
2026-06-09T14:36:54.472421,LivingRoom_AC_1__Target Temperature,LivingRoom_AC_1,Target Temperature,150,MAE,0.79,reg,OK,,
2026-06-09T14:36:54.668275,LivingRoom_Blinds_1__Open/Close Percentage,LivingRoom_Blinds_1,Open/Close Percentage,214,MAE,5.0396,reg,OK,,
2026-06-09T14:36:54.907831,LivingRoom_Fan_1__Fan Speed,LivingRoom_Fan_1,Fan Speed,91,Accuracy,0.3684,clf,DROPPED,accuracy 0.368 < 0.55,
2026-06-09T14:36:55.143160,LivingRoom_Fan_1__Power State,LivingRoom_Fan_1,Power State,182,Accuracy,1.0,clf,OK,,
